ID;Short Name;Long Name;Route Type;Color;geo_point_2d;stop_ids
RTM-184;S8;Madrague de Montredon - Lycée Marseilleveyre;Bus;951B81;43.24012252483096, 5.368650701762921;['RTM-00001718', 'RTM-00001722', 'RTM-00001723', 'RTM-00001713', 'RTM-00001724', 'RTM-00004477', 'RTM-00001944', 'RTM-00001709', 'RTM-00001711', 'RTM-00001713', 'RTM-00001713', 'RTM-00001717', 'RTM-00001718']
RTM-48;T3;Arenc Le Silo - Castellane;Tram;95C11F;43.29969625497924, 5.373972891572304;['RTM-00003554', 'RTM-00003554', 'RTM-00003281', 'RTM-00003281', 'RTM-00003209', 'RTM-00002307', 'RTM-00003210', 'RTM-00003210', 'RTM-00003211', 'RTM-00003211', 'RTM-00003213', 'RTM-00004122', 'RTM-00004122', 'RTM-00004122', 'RTM-00004123', 'RTM-00004124', 'RTM-00003554', 'RTM-00003554', 'RTM-00003281', 'RTM-00003281', 'RTM-00003209', 'RTM-00002307', 'RTM-00003210', 'RTM-00003210', 'RTM-00003211', 'RTM-00003211', 'RTM-00003213', 'RTM-00004122', 'RTM-00004122', 'RTM-00004122', 'RTM-00004123', 'RTM-00004124', 'RTM-00004130', 'RTM-00004131', 'RTM-00003211', 'RTM-00003211', 'RTM-00003278', 'RTM-00003210', 'RTM-00003281', 'RTM-00003281', 'RTM-00003281', 'RTM-00003281', 'RTM-00003556']
COL-TADB;TADB;TAD Bleu : La Valentine - Les Trois Lucs;Bus;0095DB;43.307426410805896, 5.486187853038897;['RTM-00003590', 'RTM-00003595', 'RTM-00001175', 'RTM-00002811', 'RTM-00001176']
RTM-139;B1;Castellane - Campus de Luminy;Bus;E5006B;43.253453132357755, 5.412693454592851;['RTM-00004479', 'RTM-00004480', 'RTM-00001761', 'RTM-00001763', 'RTM-00001764', 'RTM-00001764', 'RTM-00001773', 'RTM-00004479', 'RTM-00004480', 'RTM-00001761', 'RTM-00001763', 'RTM-00001764', 'RTM-00001764', 'RTM-00001773', 'RTM-00004348', 'RTM-00004350', 'RTM-00001773', 'RTM-00001775', 'RTM-00001775', 'RTM-00001776', 'RTM-00001778', 'RTM-00001779', 'RTM-00004479', 'RTM-00004251', 'RTM-00004351', 'RTM-00001773', 'RTM-00001775', 'RTM-00001775', 'RTM-00001776', 'RTM-00001778', 'RTM-00001779', 'RTM-00004479', 'RTM-00004251']
RTM-32;B3A;St Jérôme Parking Relais - Métro Malpassé;Bus;E5006B;43.33038029288786, 5.412199429826055;['RTM-00004042', 'RTM-00004036', 'RTM-00004036', 'RTM-00004036', 'RTM-00004061', 'RTM-00004055', 'RTM-00001028', 'RTM-00002516', 'RTM-00000348', 'RTM-00001028', 'RTM-00004039', 'RTM-00004061', 'RTM-00004034', 'RTM-00003932']
RTM-103;B3;St Jérôme Parking Relais - Technop. de Ch. Gombert;Bus;951B81;43.33418654398054, 5.425414990689265;['RTM-00004044', 'RTM-00004044', 'RTM-00004047', 'RTM-00004067', 'RTM-00004070', 'RTM-00004071', 'RTM-00004071', 'RTM-00004079', 'RTM-00004042', 'RTM-00004036', 'RTM-00004036', 'RTM-00004036', 'RTM-00004061', 'RTM-00004055', 'RTM-00001028', 'RTM-00002516', 'RTM-00000348', 'RTM-00000594', 'RTM-00000594', 'RTM-00004044', 'RTM-00004044', 'RTM-00004044', 'RTM-00004047', 'RTM-00004067', 'RTM-00004070', 'RTM-00004071', 'RTM-00004071', 'RTM-00004079', 'RTM-00001028', 'RTM-00004039', 'RTM-00004061', 'RTM-00004034', 'RTM-00003932', 'RTM-00004051', 'RTM-00004052', 'RTM-00003934', 'RTM-00004053', 'RTM-00004053', 'RTM-00000571', 'RTM-00000572', 'RTM-00000572', 'RTM-00000572', 'RTM-00000572', 'RTM-00000977', 'RTM-00001028', 'RTM-00004039', 'RTM-00004061', 'RTM-00004034', 'RTM-00003932']
COL-BC3;BC3;Pieds D'autry école - Les Trois Lucs;Bus;0095DB;43.32945335794723, 5.482233754062282;['RTM-00004364', 'RTM-00002892', 'RTM-00002184', 'RTM-00002184', 'RTM-00003595', 'RTM-00003625', 'RTM-00003597', 'RTM-00003598', 'RTM-00003591', 'RTM-00003590', 'RTM-00003590', 'RTM-00003591', 'RTM-00003597', 'RTM-00003595', 'RTM-00003625', 'RTM-00002184', 'RTM-00002184', 'RTM-00002892']
RTM-194;BM1B;Métro La Timone - Métro La Fourragère;Bus;009FE3;43.298776594278614, 5.412163649301675;['RTM-00004420', 'RTM-00004420', 'RTM-00004422', 'RTM-00000947', 'RTM-00003762', 'RTM-00003558', 'RTM-00003558', 'RTM-00003558', 'RTM-00003762', 'RTM-00004576', 'RTM-00004577']
LIB-C252;C252;Desserte des OGEC St-Louis Ste-Marie;Bus;A085BA;43.389201450245295, 5.160579682620118;['RTM-00002631', 'RTM-00002959', 'RTM-00000264', 'RTM-00000023', 'RTM-00003017', 'RTM-00000257', 'RTM-00000264', 'RTM-00000268', 'RTM-00000257', 'RTM-00000268', 'RTM-00002645', 'RTM-00000023', 'RTM-00003017']
RTM-126;FERRY;Mairie - Place aux Huiles;Ferry;009BBA;43.294670105, 5.370748045;['RTM-00004242', 'RTM-00004241', 'RTM-00004241', 'RTM-00004242']
