Titre,Description,Horaires ISO,Horaires détaillés,Dernière date,Lieu: Nom,Lieu: Adresse,Lieu: Ville,Lieu: Code postal,Lieu: Latitude,Lieu: Longitude
Jazz sous les étoiles: ANDY THUS ORGAN QUINTET + guest Mike PACHELLI gtar,♫♫♫,2025-06-30T20:30:00+02:00 -> 2025-06-30T22:30:00+02:00,lundi 30 juin 2025 - 20:30 ⤏ 22:30,lundi 30 juin 2025,"jardins d'albertas","Les jardins d'Albertas, D8n 13320 Bouc-Bel-Air",Bouc-Bel-Air,13320,43.455771,5.403389
Poetic Ways & Orchestre Divertimento / Marie Carnage,♫♫♫,2025-07-01T20:00:00+02:00 -> 2025-07-01T23:00:00+02:00,mardi 1 juillet 2025 - 20:00 ⤏ 23:00,mardi 1 juillet 2025,vieille charité,2 rue de la charité 13002,Marseille,13002,43.300027,5.368269
Youn Sun Nah,♫♫♫,2025-07-02T20:00:00+02:00 -> 2025-07-02T22:30:00+02:00,mercredi 2 juillet 2025 - 20:00 ⤏ 22:30,mercredi 2 juillet 2025,vieille charité,2 rue de la charité 13002,Marseille,13002,43.300027,5.368269
Boeuf Jazz Manouche,♫♫♫,2025-07-02T20:00:00+02:00 -> 2025-07-02T22:00:00+02:00,mercredi 2 juillet 2025 - 20:00 ⤏ 22:00,mercredi 2 juillet 2025,Le 3C Café culturel citoyen,23 Boulevard Carnot  13100 Aix-en-Provence,Aix-en-Provence,13090,43.525847,5.454679
"Jazz sous les étoiles: Electro Deluxe / What Elle's",♫♫♫,2025-07-03T19:00:00+02:00 -> 2025-07-03T23:00:00+02:00,jeudi 3 juillet 2025 - 19:00 ⤏ 23:00,jeudi 3 juillet 2025,"jardins d'albertas","Les jardins d'Albertas, D8n 13320 Bouc-Bel-Air",Bouc-Bel-Air,13320,43.455771,5.403389
Avishai Cohen + Louis Matute,♫JAZZ♫,2025-07-03T19:30:00+02:00 -> 2025-07-03T23:00:00+02:00,jeudi 3 juillet 2025 - 19:30 ⤏ 23:00,jeudi 3 juillet 2025,Domaine de Fontblanche,"Allée des artistes, 13127 vitrolles",Vitrolles,13127,43.421071,5.283119
Nubya Garcia,♫♫♫,2025-07-03T20:00:00+02:00 -> 2025-07-03T23:30:00+02:00,jeudi 3 juillet 2025 - 20:00 ⤏ 23:30,jeudi 3 juillet 2025,vieille charité,2 rue de la charité 13002,Marseille,13002,43.300027,5.368269
Les jeudis Jam Sessions,♫♫♫,2025-07-03T20:00:00+02:00 -> 2025-07-03T23:00:00+02:00,jeudi 3 juillet 2025 - 20:00 ⤏ 23:00,jeudi 3 juillet 2025,Le Grand Comptoir,"5675 Rte d'Avignon, 13090 Aix-en-Provence",Aix-en-Provence,13090,43.547722,5.428232
Jazz sous les étoiles: Thomas Leleu / Black Out Quintet,♫♫♫,2025-07-04T19:00:00+02:00 -> 2025-07-04T23:00:00+02:00,vendredi 4 juillet 2025 - 19:00 ⤏ 23:00,vendredi 4 juillet 2025,"jardins d'albertas","Les jardins d'Albertas, D8n 13320 Bouc-Bel-Air",Bouc-Bel-Air,13320,43.455771,5.403389
Chucho Valdés + Ana Carla Maza,♫♫♫,2025-07-04T19:30:00+02:00 -> 2025-07-04T23:00:00+02:00,vendredi 4 juillet 2025 - 19:30 ⤏ 23:00,vendredi 4 juillet 2025,Domaine de Fontblanche,"Allée des artistes, 13127 vitrolles",Vitrolles,13127,43.421071,5.283119
Tigran Hamasyan / Marie Carnage,♫♫♫,2025-07-04T20:00:00+02:00 -> 2025-07-04T23:30:00+02:00,vendredi 4 juillet 2025 - 20:00 ⤏ 23:30,vendredi 4 juillet 2025,La citadelle de Marseille,"1 Bd Charles Livon, 13007 Marseille",Marseille,13007,43.291973,5.358193
Session musique irlandaise,♫♫♫,2025-07-04T20:00:00+02:00 -> 2025-07-04T23:00:00+02:00,vendredi 4 juillet 2025 - 20:00 ⤏ 23:00,vendredi 4 juillet 2025,Le 3C Café culturel citoyen,23 Boulevard Carnot  13100 Aix-en-Provence,Aix-en-Provence,13090,43.525847,5.454679
ChROnOlogy PARtY,♫CLUBBING♫,2025-07-04T21:00:00+02:00 -> 2025-07-05T04:00:00+02:00,vendredi 4 juillet 2025 - 21:00 ⤏ 04:00,vendredi 4 juillet 2025,Sunset Café,"2,4 rue des muletiers, 13100 Aix-en-Provence",Aix-en-Provence,13090,43.529797,5.444539
"Jazz sous les étoiles: Earth, Wind & Fire experience by Al McKay / The Blakettes",♫♫♫,2025-07-05T19:00:00+02:00 -> 2025-07-05T23:00:00+02:00,samedi 5 juillet 2025 - 19:00 ⤏ 23:00,samedi 5 juillet 2025,"jardins d'albertas","Les jardins d'Albertas, D8n 13320 Bouc-Bel-Air",Bouc-Bel-Air,13320,43.455771,5.403389
Richard Bona + Eve Risser & Naïny Diabaté,♫♫♫,2025-07-05T19:30:00+02:00 -> 2025-07-05T23:00:00+02:00,samedi 5 juillet 2025 - 19:30 ⤏ 23:00,samedi 5 juillet 2025,Domaine de Fontblanche,"Allée des artistes, 13127 vitrolles",Vitrolles,13127,43.421071,5.283119
Antonio Lizana / Ludivine Issambourg,♫♫♫,2025-07-05T20:00:00+02:00 -> 2025-07-05T23:00:00+02:00,samedi 5 juillet 2025 - 20:00 ⤏ 23:00,samedi 5 juillet 2025,Théâtre de La Sucrière,246 Rue De Lyon 13015 Marseille,Marseille,13015,43.33325,5.364911
Soirée Génération Rock,♫CLUBBING♫,2025-07-05T21:00:00+02:00 -> 2025-07-06T04:00:00+02:00,samedi 5 juillet 2025 - 21:00 ⤏ 04:00,samedi 5 juillet 2025,Sunset Café,"2,4 rue des muletiers, 13100 Aix-en-Provence",Aix-en-Provence,13090,43.529797,5.444539
Rhoda Scott + Besson - Sternal - Burgwinkel Trio,♫♫♫,2025-07-06T19:30:00+02:00 -> 2025-07-06T23:00:00+02:00,dimanche 6 juillet 2025 - 19:30 ⤏ 23:00,dimanche 6 juillet 2025,Domaine de Fontblanche,"Allée des artistes, 13127 vitrolles",Vitrolles,13127,43.421071,5.283119
Jeff Mills & Emile Parisien 4tet / Angles Morts,♫♫♫,2025-07-08T20:00:00+02:00 -> 2025-07-08T23:30:00+02:00,mardi 8 juillet 2025 - 20:00 ⤏ 23:30,mardi 8 juillet 2025,Friche belle de mai,"41 rue Jobin, 13003 Marseille",Marseille,13003,43.310467,5.390088
"Caravan Palace / Mino Cinelu, Bojan Z et Juan Carmona",♫♫♫,2025-07-09T20:30:00+02:00 -> 2025-07-09T23:30:00+02:00,mercredi 9 juillet 2025 - 20:30 ⤏ 23:30,mercredi 9 juillet 2025,Théâtre silvain,"Chemin du pont de la fausse monnaie, corniche du président kennedy",Marseille,13007,43.281607,5.355089
Jam du BDE de Musicologie d’Aix,♫♫♫,2025-07-10T19:00:00+02:00 -> 2025-07-10T22:00:00+02:00,jeudi 10 juillet 2025 - 19:00 ⤏ 22:00,jeudi 10 juillet 2025,Le 3C Café culturel citoyen,23 Boulevard Carnot  13100 Aix-en-Provence,Aix-en-Provence,13090,43.525847,5.454679
Les jeudis Jam Sessions,♫♫♫,2025-07-10T20:00:00+02:00 -> 2025-07-10T23:00:00+02:00,jeudi 10 juillet 2025 - 20:00 ⤏ 23:00,jeudi 10 juillet 2025,Le Grand Comptoir,"5675 Rte d'Avignon, 13090 Aix-en-Provence",Aix-en-Provence,13090,43.547722,5.428232
Thee Sacred Souls / Sophye Soliveau,♫♫♫,2025-07-10T20:30:00+02:00 -> 2025-07-10T23:30:00+02:00,jeudi 10 juillet 2025 - 20:30 ⤏ 23:30,jeudi 10 juillet 2025,Théâtre silvain,"Chemin du pont de la fausse monnaie, corniche du président kennedy",Marseille,13007,43.281607,5.355089
Kokoroko / Anne Paceo,♫♫♫,2025-07-11T20:30:00+02:00 -> 2025-07-11T23:30:00+02:00,vendredi 11 juillet 2025 - 20:30 ⤏ 23:30,vendredi 11 juillet 2025,Théâtre silvain,"Chemin du pont de la fausse monnaie, corniche du président kennedy",Marseille,13007,43.281607,5.355089
ChROnOlogy PARtY,♫CLUBBING♫,2025-07-11T21:00:00+02:00 -> 2025-07-12T04:00:00+02:00,vendredi 11 juillet 2025 - 21:00 ⤏ 04:00,vendredi 11 juillet 2025,Sunset Café,"2,4 rue des muletiers, 13100 Aix-en-Provence",Aix-en-Provence,13090,43.529797,5.444539
Dee Dee Bridgewater / Erik Truffaz,♫JAZZ♫,2025-07-12T20:30:00+02:00 -> 2025-07-12T23:30:00+02:00,samedi 12 juillet 2025 - 20:30 ⤏ 23:30,samedi 12 juillet 2025,Théâtre silvain,"Chemin du pont de la fausse monnaie, corniche du président kennedy",Marseille,13007,43.281607,5.355089
Soirée Génération Rock,♫CLUBBING♫,2025-07-12T21:00:00+02:00 -> 2025-07-13T04:00:00+02:00,samedi 12 juillet 2025 - 21:00 ⤏ 04:00,samedi 12 juillet 2025,Sunset Café,"2,4 rue des muletiers, 13100 Aix-en-Provence",Aix-en-Provence,13090,43.529797,5.444539
Jocelyne Beroard & Tony Chasseur / Alune Wade,♫♫♫,2025-07-13T20:30:00+02:00 -> 2025-07-13T23:00:00+02:00,dimanche 13 juillet 2025 - 20:30 ⤏ 23:00,dimanche 13 juillet 2025,Théâtre silvain,"Chemin du pont de la fausse monnaie, corniche du président kennedy",Marseille,13007,43.281607,5.355089
La JAM JAM JAZZ,♫♫♫,2025-07-16T19:00:00+02:00 -> 2025-07-16T22:00:00+02:00,mercredi 16 juillet 2025 - 19:00 ⤏ 22:00,mercredi 16 juillet 2025,Le 3C Café culturel citoyen,23 Boulevard Carnot  13100 Aix-en-Provence,Aix-en-Provence,13090,43.525847,5.454679
Les jeudis Jam Sessions,♫♫♫,2025-07-17T20:00:00+02:00 -> 2025-07-17T23:00:00+02:00,jeudi 17 juillet 2025 - 20:00 ⤏ 23:00,jeudi 17 juillet 2025,Le Grand Comptoir,"5675 Rte d'Avignon, 13090 Aix-en-Provence",Aix-en-Provence,13090,43.547722,5.428232
ChROnOlogy PARtY,♫CLUBBING♫,2025-07-18T21:00:00+02:00 -> 2025-07-19T04:00:00+02:00,vendredi 18 juillet 2025 - 21:00 ⤏ 04:00,vendredi 18 juillet 2025,Sunset Café,"2,4 rue des muletiers, 13100 Aix-en-Provence",Aix-en-Provence,13090,43.529797,5.444539
Soirée Génération Rock,♫CLUBBING♫,2025-07-19T21:00:00+02:00 -> 2025-07-20T04:00:00+02:00,samedi 19 juillet 2025 - 21:00 ⤏ 04:00,samedi 19 juillet 2025,Sunset Café,"2,4 rue des muletiers, 13100 Aix-en-Provence",Aix-en-Provence,13090,43.529797,5.444539
Air,♫♫♫,2025-07-24T20:00:00+02:00 -> 2025-07-24T23:30:00+02:00,jeudi 24 juillet 2025 - 20:00 ⤏ 23:30,jeudi 24 juillet 2025,"Théâtre antique d'Arles","Rue du Cloître, 13200 Arles",Arles,13200,43.675937,4.628398
Les jeudis Jam Sessions,♫♫♫,2025-07-24T20:00:00+02:00 -> 2025-07-24T23:00:00+02:00,jeudi 24 juillet 2025 - 20:00 ⤏ 23:00,jeudi 24 juillet 2025,Le Grand Comptoir,"5675 Rte d'Avignon, 13090 Aix-en-Provence",Aix-en-Provence,13090,43.547722,5.428232
Les jeudis Jam Sessions,♫♫♫,2025-07-24T20:00:00+02:00 -> 2025-07-24T23:00:00+02:00,jeudi 24 juillet 2025 - 20:00 ⤏ 23:00,jeudi 24 juillet 2025,Le Grand Comptoir,"5675 Rte d'Avignon, 13090 Aix-en-Provence",Aix-en-Provence,13090,43.547722,5.428232
ChROnOlogy PARtY,♫CLUBBING♫,2025-07-25T16:00:00+02:00 -> 2025-07-25T23:00:00+02:00,vendredi 25 juillet 2025 - 16:00 ⤏ 23:00,vendredi 25 juillet 2025,Sunset Café,"2,4 rue des muletiers, 13100 Aix-en-Provence",Aix-en-Provence,13090,43.529797,5.444539
Soirée Génération Rock,♫CLUBBING♫,2025-07-26T21:00:00+02:00 -> 2025-07-27T04:00:00+02:00,samedi 26 juillet 2025 - 21:00 ⤏ 04:00,samedi 26 juillet 2025,Sunset Café,"2,4 rue des muletiers, 13100 Aix-en-Provence",Aix-en-Provence,13090,43.529797,5.444539
Les jeudis Jam Sessions,♫♫♫,2025-07-31T20:00:00+02:00 -> 2025-07-31T23:00:00+02:00,jeudi 31 juillet 2025 - 20:00 ⤏ 23:00,jeudi 31 juillet 2025,Le Grand Comptoir,"5675 Rte d'Avignon, 13090 Aix-en-Provence",Aix-en-Provence,13090,43.547722,5.428232
ChROnOlogy PARtY,♫CLUBBING♫,2025-08-01T21:00:00+02:00 -> 2025-08-02T04:00:00+02:00,vendredi 1 août 2025 - 21:00 ⤏ 04:00,vendredi 1 août 2025,Sunset Café,"2,4 rue des muletiers, 13100 Aix-en-Provence",Aix-en-Provence,13090,43.529797,5.444539
Soirée Génération Rock,♫CLUBBING♫,2025-08-02T21:00:00+02:00 -> 2025-08-03T04:00:00+02:00,samedi 2 août 2025 - 21:00 ⤏ 04:00,samedi 2 août 2025,Sunset Café,"2,4 rue des muletiers, 13100 Aix-en-Provence",Aix-en-Provence,13090,43.529797,5.444539
Les jeudis Jam Sessions,♫♫♫,2025-08-07T20:00:00+02:00 -> 2025-08-07T23:00:00+02:00,jeudi 7 août 2025 - 20:00 ⤏ 23:00,jeudi 7 août 2025,Le Grand Comptoir,"5675 Rte d'Avignon, 13090 Aix-en-Provence",Aix-en-Provence,13090,43.547722,5.428232
ChROnOlogy PARtY,♫CLUBBING♫,2025-08-08T21:00:00+02:00 -> 2025-08-09T04:00:00+02:00,vendredi 8 août 2025 - 21:00 ⤏ 04:00,vendredi 8 août 2025,Sunset Café,"2,4 rue des muletiers, 13100 Aix-en-Provence",Aix-en-Provence,13090,43.529797,5.444539
Soirée Génération Rock,♫CLUBBING♫,2025-08-09T21:00:00+02:00 -> 2025-08-10T04:00:00+02:00,samedi 9 août 2025 - 21:00 ⤏ 04:00,samedi 9 août 2025,Sunset Café,"2,4 rue des muletiers, 13100 Aix-en-Provence",Aix-en-Provence,13090,43.529797,5.444539
Les jeudis Jam Sessions,♫♫♫,2025-08-14T20:00:00+02:00 -> 2025-08-14T23:00:00+02:00,jeudi 14 août 2025 - 20:00 ⤏ 23:00,jeudi 14 août 2025,Le Grand Comptoir,"5675 Rte d'Avignon, 13090 Aix-en-Provence",Aix-en-Provence,13090,43.547722,5.428232
ChROnOlogy PARtY,♫CLUBBING♫,2025-08-15T21:00:00+02:00 -> 2025-08-16T04:00:00+02:00,vendredi 15 août 2025 - 21:00 ⤏ 04:00,vendredi 15 août 2025,Sunset Café,"2,4 rue des muletiers, 13100 Aix-en-Provence",Aix-en-Provence,13090,43.529797,5.444539
Soirée Génération Rock,♫CLUBBING♫,2025-08-16T21:00:00+02:00 -> 2025-08-17T04:00:00+02:00,samedi 16 août 2025 - 21:00 ⤏ 04:00,samedi 16 août 2025,Sunset Café,"2,4 rue des muletiers, 13100 Aix-en-Provence",Aix-en-Provence,13090,43.529797,5.444539
Les jeudis Jam Sessions,♫♫♫,2025-08-21T20:00:00+02:00 -> 2025-08-21T23:00:00+02:00,jeudi 21 août 2025 - 20:00 ⤏ 23:00,jeudi 21 août 2025,Le Grand Comptoir,"5675 Rte d'Avignon, 13090 Aix-en-Provence",Aix-en-Provence,13090,43.547722,5.428232
ChROnOlogy PARtY,♫CLUBBING♫,2025-08-22T21:00:00+02:00 -> 2025-08-23T04:00:00+02:00,vendredi 22 août 2025 - 21:00 ⤏ 04:00,vendredi 22 août 2025,Sunset Café,"2,4 rue des muletiers, 13100 Aix-en-Provence",Aix-en-Provence,13090,43.529797,5.444539
Soirée Génération Rock,♫CLUBBING♫,2025-08-23T21:00:00+02:00 -> 2025-08-24T04:00:00+02:00,samedi 23 août 2025 - 21:00 ⤏ 04:00,samedi 23 août 2025,Sunset Café,"2,4 rue des muletiers, 13100 Aix-en-Provence",Aix-en-Provence,13090,43.529797,5.444539
