ID;Code;Name;Coordinates;Description;Zone ID;URL;Location Type;Parent Station ID;Timezone;Wheelchair Boarding
RTM-00002089;;Quai du Port;43.295822, 5.367074;;;;0;;;1
RTM-00001832;;Rabat Seigneurie;43.237138, 5.413277;TRAVERSE DE RABAT  MARSEILLE 13009;;;0;;;1
RTM-00000514;;Rabattu;43.328071, 5.359641;;;;0;;;2
RTM-00000298;;Rabelais Frères;43.360654, 5.329263;;;;0;;;2
RTM-00001567;;Raguse Chutes Lavie;43.318559, 5.403256;;;;0;;;2
RTM-00004187;;Recher Corse;43.28893448, 5.36206573;;;;0;;;2
RTM-00002899;;Richard 4 Chemins;43.31599059, 5.42384505;;;;0;;;2
RTM-00000792;;Richard Aiguillette;43.31563542, 5.42724073;;;;0;;;2
RTM-00003097;;Roche Albe;43.309309, 5.403589;;;;0;;;2
RTM-00003569;;Rochers de l'Estaque;43.373371, 5.30984;;;;0;;;2
RTM-00001621;;Romain Rolland Belle Ombre;43.270775, 5.408078;;;;0;;;2
RTM-00001593;;Romain Rolland Gymnase;43.278281, 5.421662;;;;0;;;1
RTM-00001607;;Romain Rolland Gymnase;43.2781846, 5.4211879;120 BOULEVARD ROMAIN ROLLAND  MARSEILLE 13010;;;0;;;1
RTM-00002351;;Romain Rolland Icard;43.277004, 5.419267;138 BOULEVARD ROMAIN ROLLAND  MARSEILLE 13010;;;0;;;2
RTM-00004121;;Rome Davso;43.293544, 5.379262;;;;0;;;1
RTM-00004132;;Rome Davso;43.29362, 5.379481;55 RUE DE ROME  MARSEILLE 13001;;;0;;;1
RTM-00002736;;Rond Point du Prado;43.273052, 5.390881;D559  MARSEILLE 13008;;;0;;;1
RTM-00002863;;Roosevelt Réformés;43.2990729, 5.3864579;;;;0;;;2
RTM-00001431;;Roucas Blanc;43.276499, 5.365859;;;;0;;;2
RTM-00001430;;Roucas Blanc Emile Duployé;43.278011, 5.366606;CHEMIN DU ROUCAS BLANC  MARSEILLE 13007;;;0;;;2
RTM-00001432;;Roucas Blanc Emile Duployé;43.277733, 5.366498;CHEMIN DU ROUCAS BLANC  MARSEILLE 13007;;;0;;;2
RTM-00004102;;Rouet Louvain;43.276009, 5.395293;;;;0;;;2
RTM-00000847;;Rougemont;43.308824, 5.43913;;;;0;;;2
RTM-00002633;;Roussin Barnier;43.362666, 5.340377;6  MARSEILLE 13016;;;0;;;2
RTM-00003657;;Roussin Maurras;43.355966, 5.337972;;;;0;;;2
RTM-00003659;;Roussin Maurras;43.356241, 5.338139;;;;0;;;2
RTM-00003734;;Roux Beausoleil;43.308096, 5.409004;;;;0;;;2
RTM-00000015;;Rove Tuileries;43.35471602, 5.34959614;;;;0;;;0
RTM-00000520;;Ruffi Urbain V;43.316644, 5.368258;RUE CAZEMAJOU  MARSEILLE 13015;;;0;;;2
RTM-00001519;;Réformés Canebière;43.298605, 5.385274;8 RUE ADOLPHE THIERS  MARSEILLE 13001;;;0;;;2
RTM-00003218;;Réformés Canebière;43.300018, 5.385559;;;;0;;;1
RTM-00003271;;Réformés Canebière;43.300114, 5.385477;;;;0;;;1
RTM-00003341;;Réformés Canebière;43.300264, 5.385824;;;;0;;;1
RTM-00003344;;Réformés Canebière;43.29994499, 5.38517028;COURS JOSEPH THIERRY  MARSEILLE 13001;;;0;;;1
RTM-00003210;;République Dames;43.302172, 5.369293;;;;0;;;1
RTM-00001651;;Résidence du Lycée;43.273567, 5.427456;;;;0;;;2
RTM-00000990;;Résidence La Pâquerette;43.348824, 5.371699;;;;0;;;2
RTM-00000541;;Résidence La Station;43.332591, 5.384903;;;;0;;;2
RTM-00004479;;Résidence Le Montmorency;43.2463517, 5.40844531;;;;0;;;2
RTM-00004480;;Résidence Le Montmorency;43.24638122, 5.4085498;;;;0;;;2
RTM-00000293;;Résidence Mourepiane;43.349495, 5.347323;;;;0;;;2
RTM-00001930;;Sablier Cité Borély;43.252064, 5.382229;;;;0;;;2
RTM-00003277;;Sadi Carnot;43.299905, 5.371309;;;;0;;;1
RTM-00003603;;Sadi Carnot;43.29991961, 5.37105918;;;;0;;;2
RTM-00002283;;Saint-Charles;43.3023705, 5.3801525;;;;0;;;2
RTM-00002298;;Saint-Charles;43.30233, 5.380105;;;;0;;;2
RTM-00002309;;Saint-Charles;43.302284, 5.380007;;;;0;;;2
RTM-00002279;;Saint-Just;43.315486, 5.406393;;;;0;;;2
RTM-00003232;;Saint-Pierre;43.291797, 5.414219;;;;0;;;1
RTM-00003255;;Saint-Pierre;43.291897, 5.414205;;;;0;;;1
RTM-00004312;;Saint-Pierre;43.29189473, 5.41421391;arrêt pour itis exceptionnelsTram;;;0;;;1
RTM-00001422;;Sainte Petit Chantier;43.291025, 5.368114;;;;0;;;1
RTM-00000401;;Sainte-Marguerite Dromel;43.27107387, 5.40290586;;;;0;;;2
RTM-00001619;;Sainte-Marguerite Dromel;43.27120765, 5.40338061;terminus 15 15s;;;0;;;2
RTM-00002327;;Sainte-Marguerite Dromel;43.270618, 5.4021315;;;;0;;;2
RTM-00002022;;Sakakini Jeanne d'Arc;43.2931939, 5.40136727;BOULEVARD SAKAKINI  MARSEILLE 13005;;;0;;;1
RTM-00002031;;Sakakini Jeanne d'Arc;43.2930939, 5.40156509;103 BOULEVARD SAKAKINI  MARSEILLE 13005;;;0;;;1
RTM-00002094;;Salengro Briançon;43.316524, 5.369354;;;;0;;;1
RTM-00003486;;Savine Tuves;43.367819, 5.364825;;;;0;;;2
RTM-00000443;;Schuman Dames;43.302869, 5.366645;;;;0;;;2
RTM-00003359;;Sedan Chave;43.294972, 5.397891;;;;0;;;2
RTM-00002983;;Septèmes Gare;43.403336, 5.370958;;;;0;;;2
RTM-00001387;;Solitude Escourtines;43.281145, 5.501729;;;;0;;;2
RTM-00004437;;Sormiou Cayolle;43.229873, 5.40115;148 CHEMIN DE SORMIOU  MARSEILLE 13009;;;0;;;1
RTM-00003072;;Sormiou Jarre;43.234976, 5.399317;;;;0;;;1
RTM-00001850;;Soude Poméon;43.242298, 5.403064;;;;0;;;1
RTM-00001873;;Soude Poméon;43.242508, 5.402998;;;;0;;;1
RTM-00001849;;Soude Réginensi;43.244705, 5.399607;;;;0;;;1
RTM-00000016;;St André PN;43.355641, 5.346657;;;;0;;;2
RTM-00000027;;St Antoine;43.373404, 5.354532;;;;0;;;2
RTM-00004308;;St Antoine;43.373315, 5.353841;BOULEVARD HENRI BARNIER  MARSEILLE 13015;;;0;;;2
RTM-00003980;;St Antoine Collet;43.374298, 5.3558;;;;0;;;1
RTM-00004012;;St Antoine Collet;43.3734, 5.355793;191 AVENUE DE SAINT-ANTOINE  MARSEILLE 13015;;;0;;;1
RTM-00004013;;St Antoine Village;43.370891, 5.35613;;;;0;;;1
RTM-00000872;;St Barnabé Cauvin;43.30379624, 5.41763842;;;;0;;;2
RTM-00000816;;St Barnabé La Croix;43.304415, 5.414679;;;;0;;;2
RTM-00000855;;St Barnabé La Croix;43.3044197, 5.4139883;;;;0;;;2
RTM-00002714;;St Barnabé La Croix;43.303933, 5.414701;;;;0;;;2
RTM-00000297;;St Henri;43.359476, 5.332264;RUE RABELAIS  MARSEILLE 13016;;;0;;;2
RTM-00003596;;St Jean;43.324955, 5.492167;761 ROUTE DES 4 SAISONS  ALLAUCH 13190;;;0;;;2
RTM-00001965;;St Joseph Aiguier;43.251482, 5.415113;;;;0;;;2
RTM-00002001;;St Joseph Bon Pasteur;43.252124, 5.419;;;;0;;;2
RTM-00000120;;St Joseph Les Lions;43.349307, 5.375591;;;;0;;;2
RTM-00000825;;St Julien;43.311418, 5.445449;;;;0;;;2
RTM-00000844;;St Julien;43.31201411, 5.44732866;;;;0;;;2
RTM-00000890;;St Julien;43.314002, 5.447523;;;;0;;;2
RTM-00000824;;St Julien Helvétie;43.310482, 5.442583;AVENUE DU 24 AVRIL 1915  MARSEILLE 13012;;;0;;;2
RTM-00000819;;St Julien Kaddouz;43.30774, 5.426292;;;;0;;;2
RTM-00000851;;St Julien Kaddouz;43.307863, 5.426623;;;;0;;;2
RTM-00000821;;St Julien Kallisté;43.307947, 5.432441;;;;0;;;2
RTM-00000849;;St Julien Kallisté;43.308044, 5.432054;;;;0;;;2
RTM-00001122;;St Just Achard;43.313203, 5.402086;;;;0;;;2
RTM-00001105;;St Just Raguse;43.317273, 5.405307;;;;0;;;2
RTM-00004035;;St Jérôme Faculté;43.336542, 5.41004;AVENUE ESCADRILLE NORMANDIE-NIEMEN  MARSEILLE 13013;;;0;;;1
RTM-00002129;;St Jérôme IUT;43.341062, 5.411225;;;;0;;;2
RTM-00002130;;St Jérôme IUT;43.340915, 5.411266;;;;0;;;2
RTM-00004042;;St Jérôme IUT;43.340536, 5.409973;AVENUE ESCADRILLE NORMANDIE-NIEMEN  MARSEILLE 13014;;;0;;;1
RTM-00004059;;St Jérôme IUT;43.340387, 5.409871;AVENUE ESCADRILLE NORMANDIE-NIEMEN  MARSEILLE 13014;;;0;;;1
RTM-00000668;;St Jérôme Les Sereins;43.332458, 5.419873;;;;0;;;2
RTM-00004033;;St Jérôme Parking Relais;43.342866, 5.410308;RUE DU PÈBRE D'AIL  MARSEILLE 13014;;;0;;;1
RTM-00000715;;St Jérôme Pélabon;43.33054222, 5.4191581;;;;0;;;2
RTM-00004021;;St Louis Camau;43.350257, 5.3587;;;;0;;;2
RTM-00000012;;St Louis Rove;43.348007, 5.358466;;;;0;;;1
RTM-00004023;;St Louis Susini;43.346098, 5.359201;;;;0;;;1
RTM-00001274;;St Loup Florian;43.2816028, 5.42780936;BOULEVARD DE SAINT-LOUP  MARSEILLE 13010;;;0;;;2
RTM-00004227;;St Loup Florian;43.28196, 5.426726;RUE D'ANDRÉ BARDON  MARSEILLE 13010;;;0;;;1
RTM-00001376;;St Marcel;43.287635, 5.465047;;;;0;;;2
RTM-00002604;;St Marcel Cavaillon;43.286429, 5.468159;;;;0;;;2
RTM-00001383;;St Menet;43.289754, 5.477578;;;;0;;;2
RTM-00003523;;St Menet Village;43.288477, 5.499486;;;;0;;;2
RTM-00004554;;St Mitre Eglise;43.34531858, 5.41616473;;;;0;;;2
RTM-00003091;;St Pierre;43.2916815, 5.41402143;;;;0;;;1
RTM-00001251;;St Pierre Godchot;43.291602, 5.405664;;;;0;;;2
RTM-00001211;;St Pierre Jeannette;43.290628, 5.422104;;;;0;;;2
RTM-00001212;;St Pierre Petite Porte;43.290547, 5.420211;;;;0;;;2
RTM-00001250;;St Pierre Ste Thérèse;43.29182, 5.408667;363 RUE SAINT-PIERRE  MARSEILLE 13005;;;0;;;1
RTM-00001648;;St Tronc;43.270055, 5.422771;;;;0;;;1
RTM-00001660;;St Tronc;43.270192, 5.422732;;;;0;;;1
RTM-00001669;;St Tronc Gauloise;43.267895, 5.42661;;;;0;;;2
RTM-00001664;;St Tronc Parc Fleuri;43.267999, 5.411737;;;;0;;;1
RTM-00001675;;St Tronc Transformateur;43.267022, 5.427215;;;;0;;;2
RTM-00001475;;St Victor;43.289367, 5.366303;;;;0;;;2
RTM-00000674;;Stade Mallet;43.34693252, 5.42778991;CHEMIN DE CHÂTEAU-GOMBERT  MARSEILLE 13013;;;0;;;1
RTM-00001799;;Ste Anne;43.256668, 5.393993;;;;0;;;2
RTM-00001827;;Ste Anne;43.256647, 5.394589;;;;0;;;2
RTM-00001826;;Ste Anne Haïfa;43.25452426, 5.394352;;;;0;;;2
RTM-00000132;;Ste Marthe;43.338656, 5.3914;;;;0;;;1
RTM-00000987;;Ste Marthe;43.339337, 5.391686;;;;0;;;2
RTM-00001003;;Ste Marthe;43.339046, 5.392048;;;;0;;;2
RTM-00000112;;Ste Marthe Jourdan;43.333572, 5.390744;;;;0;;;2
RTM-00000111;;Ste Marthe Le Camp;43.331358, 5.389314;CHEMIN DE SAINTE-MARTHE  MARSEILLE 13014;;;0;;;1
RTM-00000133;;Ste Marthe Peupliers;43.336637, 5.392033;;;;0;;;2
RTM-00003156;;Ste Marthe Vert Bois;43.334974, 5.39146;;;;0;;;2
RTM-00000451;;Strasbourg Desaix;43.307798, 5.376326;BOULEVARD DE STRASBOURG  MARSEILLE 13003;;;0;;;1
RTM-00000459;;Strasbourg Desaix;43.308267, 5.376943;;;;0;;;2
RTM-00004047;;Technopôle Polytech Marseille;43.34446838, 5.43706298;RUE ENRICO FERMI  MARSEILLE 13013;;;0;;;1
RTM-00004050;;Technopôle Polytech Marseille;43.34459322, 5.43681622;RUE ENRICO FERMI  MARSEILLE 13013;;;0;;;1
RTM-00003142;;Teisseire Montfuron;43.273097, 5.398987;RUE RAYMOND TEISSEIRE  MARSEILLE 13008;;;0;;;2
RTM-00003141;;Teisseire Rabatau;43.274951, 5.396478;;;;0;;;2
RTM-00001426;;Tellène Valentin;43.28440417, 5.36758491;;;;0;;;1
RTM-00001436;;Tellène Valentin;43.284346, 5.368016;;;;0;;;1
RTM-00004289;;Terminal Croisières;43.340345, 5.346588;;;;0;;;0
RTM-00004290;;Terminal Croisières;43.340106, 5.346024;IMPASSE SANGUINETTI  MARSEILLE 13015;;;0;;;2
RTM-00004083;;Terrasses du Port;43.305754, 5.365631;;;;0;;;1
RTM-00001586;;Timone Belvédère;43.286538, 5.409682;;;;0;;;2
RTM-00001614;;Timone Belvédère;43.286794, 5.411075;;;;0;;;2
RTM-00001615;;Timone Hilarion Boeuf;43.286298, 5.406919;;;;0;;;2
RTM-00000335;;Tir La Busserine;43.33333737, 5.39662989;48 BOULEVARD JOURDAN  MARSEILLE 13014;;;0;;;1
RTM-00000363;;Tir La Busserine;43.33377, 5.395759;BOULEVARD JOURDAN  MARSEILLE 13014;;;0;;;1
RTM-00000362;;Tir Le Mail;43.333278, 5.39806;;;;0;;;2
RTM-00001265;;Toulon Galinat;43.283355, 5.397765;;;;0;;;2
RTM-00001315;;Toulon Galinat;43.283503, 5.39702;;;;0;;;2
RTM-00001264;;Toulon Hébert;43.284389, 5.395538;;;;0;;;1
RTM-00001672;;Toulouse Claudel;43.26799411, 5.41984472;;;;0;;;2
RTM-00001673;;Toulouse Claudel;43.26778611, 5.42005508;;;;0;;;2
RTM-00000129;;Tour Sainte;43.343811, 5.384809;;;;0;;;2
RTM-00002158;;Transformateur;43.35717855, 5.46639948;;;;0;;;1
RTM-00003046;;Transformateur;43.395584, 5.351942;;;;0;;;2
RTM-00000181;;Traverse de l'Oasis;43.348446, 5.366434;;;;0;;;2
RTM-00000022;;Traverse de la Barre;43.368535, 5.344758;;;;0;;;2
RTM-00000031;;Traverse de la Barre;43.368588, 5.344573;;;;0;;;2
RTM-00003688;;Traverse de la Buzine;43.294014, 5.49716;;;;0;;;2
RTM-00002996;;Traverse des Fraises;43.3828353, 5.35034845;arrêt reporté;;;0;;;2
RTM-00003000;;Traverse des Fraises;43.3832236, 5.35064018;arrêt non matérialisé;;;0;;;2
RTM-00000499;;Traverse Maritime;43.33959, 5.355256;406 CHEMIN DE LA MADRAGUE-VILLE  MARSEILLE 13015;;;0;;;2
RTM-00000509;;Traverse Maritime;43.339535, 5.355127;;;;0;;;2
RTM-00001620;;Trinitaires Huveaune;43.271974, 5.406542;;;;0;;;2
RTM-00002681;;Trinitaires Romain Rolland;43.271182, 5.407296;;;;0;;;2
RTM-00002718;;Trévaresse Cité SNCF;43.2965972, 5.413119;;;;0;;;2
RTM-00004210;;Turbine Flotte;43.276684, 5.381248;;;;0;;;2
RTM-00004212;;Turbine Flotte;43.27652575, 5.38101554;;;;0;;;2
RTM-00000200;;Tuves Bosphore;43.367821, 5.363618;;;;0;;;2
RTM-00004000;;Val Pins;43.370474, 5.363723;RÉSIDENCE VAL PINS  MARSEILLE 13015;;;0;;;2
RTM-00003934;;Val Plan;43.334799, 5.432454;;;;0;;;2
RTM-00001379;;Valbarelle Coder;43.288685, 5.456273;;;;0;;;2
RTM-00001297;;Valbarelle Heckel;43.286074, 5.443074;;;;0;;;1
RTM-00000666;;Valdonne Fuveau;43.32920879, 5.41901708;;;;0;;;2
RTM-00002137;;Valdonne Peypin;43.326965, 5.417898;;;;0;;;2
RTM-00002138;;Valdonne Peypin;43.327122, 5.417932;AVENUE DE VALDONNE  MARSEILLE 13013;;;0;;;2
RTM-00003984;;Vallon d'Ol Bourrély;43.385177, 5.362632;;;;0;;;2
RTM-00002965;;Vallon de la Rougière;43.39211478, 5.37209988;abs trottoir;;;0;;;2
RTM-00001646;;Vallon de Toulouse;43.268014, 5.417055;;;;0;;;1
RTM-00002058;;Vallon des Auffes;43.28572, 5.350658;;;;0;;;1
RTM-00002082;;Vallon des Auffes;43.285688, 5.350796;double abri 123/578;;;0;;;1
RTM-00003997;;Vallon des Tuves;43.368722, 5.362852;;;;0;;;2
RTM-00001488;;Vallon Jourdan;43.286424, 5.363346;;;;0;;;2
RTM-00001527;;Vallon Montebello;43.281225, 5.378258;;;;0;;;1
RTM-00002005;;Valmante;43.25060938, 5.41711162;;;;0;;;2
RTM-00003623;;Valmante;43.250524, 5.41706;TRAVERSE COUSINERY  MARSEILLE 13009;;;0;;;2
RTM-00001451;;Vauban;43.28188007, 5.37705258;10 RUE LACÉDÉMONE  MARSEILLE 13006;;;0;;;2
RTM-00001447;;Vauban Breteuil;43.285619, 5.377429;BOULEVARD VAUBAN  MARSEILLE 13006;;;0;;;2
RTM-00001693;;Verdillon;43.276316, 5.422186;;;;0;;;1
RTM-00001715;;Verrerie;43.234453, 5.359335;;;;0;;;2
RTM-00001728;;Vieille Chapelle;43.248286, 5.375017;AVENUE DE LA POINTE ROUGE  MARSEILLE 13008;;;0;;;2
RTM-00004396;;Vieux Port Ballard;43.293689, 5.374317;2 COURS JEAN BALLARD  MARSEILLE 13001;;;0;;;1
RTM-00004400;;Vieux Port Ballard;43.293899, 5.374233;2 COURS JEAN BALLARD  MARSEILLE 13001;;;0;;;1
RTM-00001054;;Villecroze Bougie;43.321839, 5.392014;;;;0;;;2
RTM-00000356;;Villecroze Les Oliviers;43.328464, 5.40548;;;;0;;;2
RTM-00001055;;Villecroze Marronniers;43.319764, 5.391962;;;;0;;;2
RTM-00000185;;Visitation;43.337323, 5.367181;;;;0;;;2
RTM-00002621;;Viton;43.260309, 5.407258;;;;0;;;2
RTM-00003342;;Voltaire St Charles;43.302885, 5.384892;;;;0;;;2
RTM-00000627;;Vélodrome;43.32106, 5.45794;;;;0;;;2
RTM-00001685;;3 Ponts Canal;43.274688, 5.437447;;;;0;;;2
RTM-00001687;;3 Ponts Canal;43.27476, 5.437712;RUE DES TROIS PONTS  MARSEILLE 13010;;;0;;;2
RTM-00000999;;4 Chemins des Aygalades;43.346226, 5.365732;;;;0;;;2
RTM-00001056;;5 Avenues Burel;43.317075, 5.389552;BOULEVARD BUREL  MARSEILLE 13014;;;0;;;2
RTM-00001099;;5 Avenues Chartreux;43.30328, 5.397563;;;;0;;;1
RTM-00001220;;AFPA La Treille;43.30806, 5.509507;;;;0;;;2
RTM-00002000;;Aiguier CPCAM;43.250819, 5.413757;;;;0;;;2
RTM-00001998;;Aiguier St Jacques;43.252924, 5.409037;;;;0;;;2
RTM-00002008;;Aiguier St Jacques;43.253511, 5.408596;;;;0;;;2
RTM-00004429;;Allar;43.322864, 5.364218;50 CHEMIN DE LA MADRAGUE-VILLE  MARSEILLE 13015;;;0;;;2
RTM-00004430;;Allar;43.324665, 5.36502;##----;;;0;;;1
RTM-00002726;;Alpes Cauvin;43.298719, 5.416046;;;;0;;;2
RTM-00003741;;Alpes Merle;43.30224826, 5.41500846;BOULEVARD DES ALPES  MARSEILLE 13012  barrieres;;;0;;;2
RTM-00001435;;Amédée Autran;43.282104, 5.367698;;;;0;;;2
RTM-00003556;;Arenc Le Silo;43.313315, 5.368208;;;;0;;;1
RTM-00004139;;Arenc Mirabeau;43.31285246, 5.36622182;A55  MARSEILLE 13002;;;0;;;1
RTM-00001465;;Ascenseur;43.285567, 5.37222;;;;0;;;2
RTM-00001951;;Aubert Ganay;43.265243, 5.403587;;;;0;;;2
RTM-00004355;;Audisio Valmalète;43.342346, 5.40191;IMPASSE DU BOIS CHENU  MARSEILLE 13014;;;0;;;1
RTM-00000530;;Auphan Vaillant;43.317383, 5.378212;;;;0;;;2
RTM-00000559;;Auphan Vaillant;43.317061, 5.377068;A7  MARSEILLE 13003;;;0;;;2
RTM-00002302;;Baille;43.288089, 5.3920085;;;;0;;;2
RTM-00001407;;Baille Castellane;43.2863947, 5.3858779;BOULEVARD BAILLE  MARSEILLE 13006;;;0;;;2
RTM-00001255;;Baille Hôpital Conception;43.289419, 5.396354;BOULEVARD BAILLE  MARSEILLE 13005;;;0;;;2
RTM-00001226;;Baille Lodi;43.287442, 5.389754;;;;0;;;2
RTM-00001257;;Baille Lodi;43.287585, 5.389617;;;;0;;;2
RTM-00001254;;Baille Nègre;43.289952, 5.398354;;;;0;;;2
RTM-00001385;;Bancal Barasse;43.286116, 5.479529;D2 B  MARSEILLE 13011;;;0;;;1
RTM-00002125;;Bancal Barasse;43.286091, 5.479792;D2 B  MARSEILLE 13011;;;0;;;2
RTM-00002204;;Bar 1900;43.337014, 5.452322;;;;0;;;2
RTM-00000722;;Bara Bessons;43.347827, 5.447855;;;;0;;;2
RTM-00000721;;Bara La Croix;43.349824, 5.443665;;;;0;;;2
RTM-00000720;;Bara Prats;43.351158, 5.441364;;;;0;;;2
RTM-00001374;;Barasse Beau Site;43.286315, 5.472988;;;;0;;;2
RTM-00000964;;Bastide Basse;43.299498, 5.439954;;;;0;;;2
RTM-00000943;;Bastide St Jean;43.298942, 5.421511;;;;0;;;2
RTM-00001810;;Baumettes Beauvallon;43.233058, 5.412501;;;;0;;;2
RTM-00001815;;Baumettes Rimbaud;43.230788, 5.414258;;;;0;;;2
RTM-00000161;;Bd de la Gare;43.357265, 5.36708;;;;0;;;2
RTM-00000848;;Beaumont Figone;43.308344, 5.435809;;;;0;;;1
RTM-00000870;;Beaumont Pasteur;43.311151, 5.438481;BOULEVARD DE BEAUMONT  MARSEILLE 13012;;;0;;;2
RTM-00000431;;Belle de Mai La Friche;43.30955, 5.390241;;;;0;;;1
RTM-00000474;;Belle de Mai La Friche;43.309722, 5.390209;;;;0;;;1
RTM-00000210;;Belle de Mai Loubon;43.312898, 5.38573;;;;0;;;2
RTM-00000454;;Bernard Clovis Hugues;43.310358, 5.385674;;;;0;;;1
RTM-00002894;;Berthe Sylva La Rose;43.326721, 5.420785;;;;0;;;2
RTM-00000110;;Bertrandon;43.328349, 5.387847;;;;0;;;2
RTM-00003087;;Blancarde 5 Avenues;43.30273, 5.397174;;;;0;;;2
RTM-00003086;;Blancarde Jeanne de Chantal;43.30279685, 5.40254831;;;;0;;;1
RTM-00000859;;Blancarde Rougier;43.303237, 5.40288;;;;0;;;1
RTM-00000764;;Bois Lemaître;43.32067407, 5.43281972;SQUARE ÉTIENNE PORTELLI  MARSEILLE 13012;;;0;;;2
RTM-00000788;;Bois Lemaître;43.32063895, 5.43278217;;;;0;;;2
RTM-00001481;;Bompard Beaulieu;43.281353, 5.360074;BOULEVARD BOMPARD  MARSEILLE 13007;;;0;;;2
RTM-00001479;;Bompard Endoume;43.284465, 5.360192;;;;0;;;2
RTM-00001482;;Bompard Fedeli;43.280484, 5.360771;BOULEVARD BOMPARD  MARSEILLE 13007;;;0;;;2
RTM-00001480;;Bompard Rigaud;43.282273, 5.361038;BOULEVARD BOMPARD  MARSEILLE 13007;;;0;;;2
RTM-00001486;;Bompard Rigaud;43.282436, 5.361097;BOULEVARD BOMPARD  MARSEILLE 13007;;;0;;;2
RTM-00002194;;Bon Rencontre;43.352092, 5.478743;;;;0;;;2
RTM-00003712;;Bonnefoy Palais Omnisports;43.281291, 5.401836;;;;0;;;1
RTM-00002024;;Bonnefoy Rabatau;43.279679, 5.399711;6 BOULEVARD FERNAND BONNEFOY  MARSEILLE 13010;;;0;;;1
RTM-00002030;;Bonnefoy Rabatau;43.279876, 5.400128;BOULEVARD FERNAND BONNEFOY  MARSEILLE 13010;;;0;;;2
RTM-00000930;;Booth La Moularde;43.296807, 5.448675;;;;0;;;2
RTM-00000929;;Booth Lecache;43.295857, 5.447106;LES LOGIS DE LA PASTORALE  MARSEILLE 13011;;;0;;;1
RTM-00002333;;Bougainville;43.320844, 5.3714625;;;;0;;;2
RTM-00003369;;Bourdet St Charles;43.3026665, 5.37957823;;;;0;;;2
RTM-00003986;;Bourrély Granière;43.382678, 5.364172;95 CHEMIN DES BOURRELY  MARSEILLE 13015;;;0;;;1
RTM-00000543;;Bovet Muret;43.331062, 5.381046;Arrêt déplacé suite à imprécision GPS;;;0;;;2
RTM-00000548;;Bovet Muret;43.331045, 5.380711;;;;0;;;2
RTM-00001729;;Bowl du Prado;43.251808, 5.375764;;;;0;;;1
RTM-00000360;;Braque Les Flamants;43.332857, 5.401403;;;;0;;;1
RTM-00003813;;Bénédit;43.307365, 5.392355;;;;0;;;2
RTM-00003838;;Bénédit;43.307748, 5.392305;;;;0;;;1
RTM-00001612;;Cabassud Mireille Lauze;43.283702, 5.412954;;;;0;;;2
RTM-00001587;;Cabassud Timone;43.285764, 5.412786;BOULEVARD JEAN-EUGÈNE CABASSUD  MARSEILLE 13010;;;0;;;2
RTM-00004204;;Cadenelle Charley;43.26799927, 5.38251758;à compléter saisie terrain;;;0;;;2
RTM-00000937;;Caillols Figone;43.303667, 5.437272;;;;0;;;2
RTM-00000920;;Caillols Fort Fouque;43.30326532, 5.44223428;;;;0;;;2
RTM-00000915;;Caillols La Fourragère;43.303854, 5.427655;;;;0;;;2
RTM-00000940;;Caillols La Fourragère;43.30398, 5.427783;;;;0;;;2
RTM-00000438;;Caisserie Beauregard;43.296926, 5.367532;;;;0;;;2
RTM-00003832;;Caisserie Beauregard;43.296943, 5.368049;;;;0;;;2
RTM-00003421;;Camas;43.295463, 5.393121;;;;0;;;1
RTM-00001179;;Camoins Les Clos;43.301167, 5.507328;;;;0;;;2
RTM-00001191;;Camoins Les Clos;43.301241, 5.507301;Anciennement Clinique St Roch;;;0;;;2
RTM-00001217;;Camoins Les Côteaux;43.307341, 5.508326;;;;0;;;2
RTM-00001215;;Camoins Les Ombrées;43.303639, 5.505782;;;;0;;;2
RTM-00001223;;Camoins Les Ombrées;43.303684, 5.505614;;;;0;;;2
RTM-00004402;;Canebière Bourse;43.296939, 5.37678;1 RUE DE BIR-HAKEIM  MARSEILLE 13001;;;0;;;1
RTM-00004406;;Canebière Bourse;43.296482, 5.375993;8 RUE DES FABRES  MARSEILLE 13001;;;0;;;1
RTM-00002635;;Canet Ambrosini;43.332132, 5.374729;20 BOULEVARD GAY-LUSSAC  MARSEILLE 13014;;;0;;;2
RTM-00002213;;Cantons Rouges;43.336773, 5.465502;;;;0;;;2
RTM-00004311;;Cap Pinède Lyon;43.328254, 5.364233;AVENUE DU CAP-PINÈDE  MARSEILLE 13015;;;0;;;2
RTM-00001172;;Cartonnerie;43.289984, 5.463808;;;;0;;;2
RTM-00000143;;Casanova Barbès;43.322933, 5.374347;;;;0;;;2
RTM-00000323;;Casanova Canet;43.329092, 5.375822;;;;0;;;1
RTM-00000374;;Casanova Canet;43.329259, 5.374823;3 BOULEVARD DE LA MAISON BLANCHE  MARSEILLE 13014;;;0;;;1
RTM-00000103;;Casanova Etats Unis;43.325574, 5.374236;;;;0;;;2
RTM-00000324;;Casanova Larousse;43.330413, 5.376523;;;;0;;;2
RTM-00001224;;Castellane;43.28552959, 5.38511235;AVENUE JULES CANTINI  MARSEILLE 13006;;;0;;;1
RTM-00001695;;Castellane;43.2844992, 5.3844198;D559  MARSEILLE 13006;;;0;;;1
RTM-00002324;;Castellane;43.2851755, 5.3844335;;;;0;;;2
RTM-00004129;;Castellane;43.286551, 5.383507;;;;0;;;1
RTM-00000369;;Castors de Servières;43.342052, 5.372839;;;;0;;;2
