ID;Code;Name;Coordinates;Description;Zone ID;URL;Location Type;Parent Station ID;Timezone;Wheelchair Boarding
RTM-00001011;;Les Hirondelles;43.330905, 5.40685;;;;0;;;2
RTM-00000346;;Les Lauriers;43.327534, 5.412787;RUE DE MARATHON  MARSEILLE 13013;;;0;;;1
RTM-00004040;;Les Lilas;43.331923, 5.410376;AVENUE ESCADRILLE NORMANDIE-NIEMEN  MARSEILLE 13013;;;0;;;1
RTM-00004056;;Les Lilas;43.331927, 5.410353;AVENUE ESCADRILLE NORMANDIE-NIEMEN  MARSEILLE 13013;;;0;;;1
RTM-00004061;;Les Lilas;43.331792, 5.410265;AVENUE ESCADRILLE NORMANDIE-NIEMEN  MARSEILLE 13013;;;0;;;1
RTM-00002202;;Les Madets;43.340639, 5.456642;D908  PLAN-DE-CUQUES 13380;;;0;;;2
RTM-00001679;;Les Marronniers;43.276811, 5.420334;;;;0;;;2
RTM-00000620;;Les Martégaux;43.325114, 5.441893;;;;0;;;2
RTM-00000659;;Les Martégaux;43.32554, 5.441542;AVENUE DES OLIVES  MARSEILLE 13013;;;0;;;2
RTM-00003051;;Les Mazets;43.392017, 5.364456;;;;0;;;2
RTM-00002153;;Les Moisserons;43.348553, 5.466395;;;;0;;;2
RTM-00002198;;Les Moisserons;43.3487, 5.466592;;;;0;;;2
RTM-00000622;;Les Olives Comtesse;43.32308, 5.447978;;;;0;;;2
RTM-00000657;;Les Olives Comtesse;43.323283, 5.448087;;;;0;;;2
RTM-00004037;;Les Oliviers;43.330226, 5.41284;68 CHEMIN DU MERLAN À LA ROSE  MARSEILLE 13013;;;0;;;1
RTM-00002967;;Les Peyrards Placette;43.371314, 5.377069;;;;0;;;2
RTM-00002999;;Les Peyrards Placette;43.371259, 5.376978;abs trottoir. abs sigep;;;0;;;2
RTM-00001658;;Les Roches;43.271964, 5.427509;;;;0;;;2
RTM-00002693;;Les Vaudrans Marronniers;43.307432, 5.475109;;;;0;;;2
RTM-00002160;;Les Vidarès;43.355061, 5.466259;;;;0;;;1
RTM-00004052;;Les Vieux Cyprès;43.337646, 5.435654;RUE ALBERT EINSTEIN  MARSEILLE 13013;;;0;;;1
RTM-00003907;;Liberté Sembat;43.301523, 5.383459;;;;0;;;2
RTM-00003374;;Libération Réformés;43.299331, 5.386361;BOULEVARD DE LA LIBÉRATION  MARSEILLE 13001;;;0;;;1
RTM-00003375;;Libération St Vincent de Paul;43.300634, 5.390199;;;;0;;;1
RTM-00004413;;Lieutaud Cours Julien;43.295774, 5.381487;6 COURS LIEUTAUD  MARSEILLE 13001;;;0;;;1
RTM-00001042;;Lissandre;43.356082, 5.414654;;;;0;;;2
RTM-00001075;;Lissandre;43.3564049, 5.41332607;14 RUE DE LISSANDRE  MARSEILLE 13013;;;0;;;2
RTM-00001076;;Lissandre Ecoles;43.356113, 5.410278;;;;0;;;2
RTM-00000243;;Littoral Beauséjour;43.3327905, 5.3546605;32 CHEMIN DU LITTORAL  MARSEILLE 13002;;;0;;;1
RTM-00000244;;Littoral Bernabo;43.335668, 5.354639;;;;0;;;2
RTM-00000276;;Littoral Bernabo;43.335603, 5.354458;;;;0;;;2
RTM-00000273;;Littoral Consolat;43.347196, 5.344048;;;;0;;;2
RTM-00000269;;Littoral Mourepiane;43.354164, 5.332751;;;;0;;;1
RTM-00001523;;Lodi Village;43.288384, 5.388064;;;;0;;;2
RTM-00001530;;Lodi Village;43.288482, 5.388136;;;;0;;;2
RTM-00001160;;Lombard Parette;43.289607, 5.426813;;;;0;;;1
RTM-00001162;;Lombard Rebattu;43.288911, 5.432952;AVENUE JEAN LOMBARD  MARSEILLE 13011;;;0;;;2
RTM-00003221;;Longchamp;43.303228, 5.392459;;;;0;;;1
RTM-00003864;;Longchamp;43.304228, 5.39309;;;;0;;;2
RTM-00003865;;Longchamp;43.304149, 5.39322;;;;0;;;2
RTM-00003153;;Lou Galoubet;43.400354, 5.365407;ROND-POINT DU 24 AVRIL 1915  SEPTÈMES-LES-VALLONS 13240;;;0;;;2
RTM-00000221;;Loubon Barbini;43.312884, 5.382685;descente sur passage piéton;;;0;;;1
RTM-00001020;;Loubon Barbini;43.31269, 5.382442;;;;0;;;2
